"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"chondroitin sulfate A (GalNAc4S-GlcA) and B (IdoA2S-GalNAc4S), precursor 2",6,0.3,4.236,1.08,0.14,"CHPF; CHPF2; CHSY3; CHSY1; CSGALNACT1; CSGALNACT2",0.6075
"heneicosanoyl-CoA",32,0.141,8.489,1.08,0.14,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.6075
"20-oxo-LTE4",12,-0.165,5.615,1.078,0.1404,"ADH4; ADH5; ADH7; ADHFE1; ADH6; ADH1C; ADH1A; ALDH2",0.6081
"1D-myo-inositol-3-phosphate",5,-0.045,3.979,1.071,0.142,"INPP4A; INPP4B; IMPA2; IMPA1; ISYNA1",0.6137
"9-HETE",23,-0.398,7.329,1.07,0.1422,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6137
"15H-11,12-EETA",23,-0.398,7.329,1.069,0.1425,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6139
"13-HETE",23,-0.398,7.329,1.067,0.143,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6144
"methylglyoxal",9,0.381,4.99,1.065,0.1434,"AOC3; GLOD4; GLO1; AKR1B1; AKR1B10; AKR7A2; AKR1A1; CYP2E1",0.6144
"S-(2-methylpropanoyl)-dihydrolipoamide",3,-0.16,3.317,1.064,0.1436,"BCKDHA; DBT; BCKDHB",0.6144
"dimethylallyl-PP",5,0.269,3.924,1.063,0.144,"FDPS; IDI1; IDI2; GGPS1; TRIT1",0.6144
"chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 6",10,0.233,5.148,1.059,0.1448,"CTSA; HYAL4; HYAL2; HYAL1; GALNS; GLB1; HYAL3; HEXB",0.6144
"2-hydroxyestrone",7,0.339,4.594,1.058,0.145,"CYP3A4; LRTOMT; COMT; LPO; TPO; PRDX6; MPO",0.6144
"chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 2",5,0.322,4.012,1.058,0.145,"CHST7; CHPF; CHPF2; CHSY3; CHSY1",0.6144
"chondroitin sulfate C (GalNAc6S-GlcA), precursor 2",6,0.3,4.236,1.057,0.1452,"CHPF; CHPF2; CHSY3; CHSY1; CSGALNACT1; CSGALNACT2",0.6144
"etiocholan-3alpha-ol-17-one 3-glucuronide",3,0.517,3.312,1.056,0.1455,"UGT1A1; UGT1A8; ABCC1",0.6144
"2-(3-methyl-1-hydroxybutyl)thiamine diphosphate",3,-0.16,3.317,1.055,0.1456,"BCKDHA; DBT; BCKDHB",0.6144
"SAM",79,-0.061,12.666,1.055,0.1458,"COQ3; PEMT; LRTOMT; COMT; MAT2B; MAT2A; MAT1A; GNMT",0.6144
"acetaldehyde",21,0.022,6.997,1.055,0.1458,"ALDH3A1; ALDH1A3; ALDH3B1; CYP17A1; ADH1A; ADH4; ADH5; ADH7",0.6144
"bilirubin-bisglucuronoside",22,0.091,7.219,1.054,0.146,"ABCC1; ABCC2; ABCC3; UGT3A1; UGT2B4; UGT1A6; UGT2B7; UGT1A4",0.6144
"CO",3,0.105,3.315,1.052,0.1464,"HMOX1; HMOX2; ADI1",0.6144
"chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 3",6,0.3,4.236,1.052,0.1465,"CHPF; CHPF2; CHSY3; CHSY1; CSGALNACT1; CSGALNACT2",0.6144
"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate",14,0.005,5.971,1.044,0.1481,"CYP27A1; SLC27A2; SLC27A5; ABCD3; ALDH3A1; ALDH9A1; ALDH1B1; ALDH2",0.62
"2-(2-methyl-1-hydroxypropyl)thiamine diphosphate",3,-0.16,3.317,1.041,0.149,"BCKDHA; DBT; BCKDHB",0.6227
"18-HETE",23,-0.398,7.329,1.038,0.1495,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6237
"gamma-linolenoyl-CoA",42,0.15,9.57,1.035,0.1504,"FADS1; FADS2; SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4",0.6264
"bromobenzene",10,-0.476,5.085,1.033,0.1508,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6269
"5-hydroxykynurenamine",3,-0.256,3.266,1.03,0.1514,"DDC; MAOA; MAOB",0.6283
"[protein]-omega-N-(ADP-D-ribosyl)-L-arginine",4,0.184,3.68,1.029,0.1517,"SIRT6; ART4; ART3; ADPRH",0.6285
"indoleacetate",8,-0.024,4.736,1.027,0.1522,"ALDH2; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1; LRTOMT; COMT; FAAH2",0.6294
"estrone",35,-0.254,8.792,1.026,0.1525,"HSD17B7; HSD17B12; HSD17B2; HSD17B8; HSD17B11; HSD17B1; HSD17B6; SULT1E1",0.6296
"5beta-cholestane-3alpha,7alpha,12alpha,24s,25-pentol",25,-0.069,7.563,1.021,0.1535,"CYP27A1; RDH10; ADH5; HSD3B7; AKR1B10; HSD17B14; CBR4; HSD17B8",0.631
"6-phospho-D-gluconate",4,0.053,3.642,1.02,0.1538,"PGD; IDNK; H6PD; PGLS",0.631
"cholate",13,-0.213,5.755,1.019,0.1541,"ACOT8; SLC27A5; CYP7A1; SLC27A2; SLCO1B3; SLCO1A2; ABCB11; ABCC3",0.631
"choloyl-CoA",12,0.146,5.591,1.019,0.1541,"BAAT; MYO5B; ACAA1; SCP2; PDZD4; SRPK3; ABCD1; BCAP31",0.631
"3-hydroxykynurenamine",3,-0.256,3.266,1.018,0.1543,"DDC; MAOA; MAOB",0.631
"asparagine",40,0.059,9.294,1.017,0.1547,"ASPG; ASRGL1; ASNS; SLC36A1; SLC43A1; SLC7A7; SLC7A5; SLC3A2",0.631
"testosterone glucuronide",6,0.63,4.227,1.017,0.1545,"UGT1A1; UGT2B28; UGT1A8; UGT2B17; UGT2B7; ABCC1",0.631
"18-hydroxy-all-trans-retinoate",23,-0.398,7.329,1.011,0.1561,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6332
"estradiol-17beta 3-glucuronide",23,0.126,7.274,1.011,0.1561,"UGT3A1; UGT2B4; UGT1A6; UGT2B7; UGT1A4; UGT2A1; UGT1A3; UGT2B10",0.6332
"11,12,15-THETA",23,-0.398,7.329,1.01,0.1563,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6332
"pantothenate",6,0.246,4.226,1.01,0.1563,"PANK2; SLC5A6; VNN2; VNN1; PANK1; PANK3",0.6332
"S-(3-methylbutanoyl)-dihydrolipoamide",3,-0.16,3.317,1.005,0.1575,"BCKDHA; DBT; BCKDHB",0.637
"formate",21,0.004,6.951,1.004,0.1578,"CYP51A1; ESD; GCH1; AFMID; MTHFD1; MTHFD2; MTHFD1L; MTHFD2L",0.637
"thymidine",17,0.144,6.379,1.002,0.1582,"TK1; ACP3; NT5C3A; NT5M; NT5C2; NT5E; NT5C; RBAK",0.637
"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al",7,0.196,4.489,1.001,0.1585,"CYP27A1; ALDH3A1; ALDH9A1; ALDH1B1; ALDH2; ALDH7A1; ALDH3A2",0.637
"HMG-CoA",6,0.296,4.215,0.997,0.1595,"HMGCS1; HMGCR; HMGCL; HMGCS2; HMGCLL1; AUH",0.637
"S-glutaryldihydrolipoamide",3,-0.092,3.288,0.996,0.1597,"DHTKD1; OGDH; DLST",0.637
"6,7-dihydro-LTB4",23,-0.398,7.329,0.995,0.1598,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.637
"[protein]-L-asparagine",8,0.19,4.694,0.995,0.1598,"TUSC3; DDOST; DAD1; STT3B; STT3A; RPN1; RPN2; AGA",0.637
"[protein]-N6,N6,N6-trimethyl-L-lysine",31,-0.07,8.212,0.995,0.1599,"KMT2B; NSD1; NSD2; SMYD3; KMT2C; SETD1B; KMT5A; KMT2D",0.637
"13-carboxy-alpha-tocotrienol",28,0.123,7.875,0.993,0.1604,"CYP4F22; CYP4F11; CYP4F2; CYP4F3; SLC27A2; HSD17B4; ACOX3; ACOT1",0.637
"7,12-dimethylbenz[a]anthracene",21,-0.384,6.974,0.992,0.1607,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.637
"8,9-EET",25,-0.38,7.504,0.99,0.1611,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.637
"S-propanoyldihydrolipoamide",3,-0.16,3.317,0.99,0.1611,"BCKDHA; BCKDHB; DBT",0.637
"OAA",12,0.016,5.582,0.989,0.1614,"GOT2; GOT1; PCK1; PCK2; MDH1; MDH1B; MDH2; PC",0.637
"pyridoxamine-phosphate",4,0.149,3.588,0.989,0.1614,"PDXK; PNPO; PHOSPHO2; PDXP",0.637
"nicotinate ribonucleotide",18,-0.103,6.503,0.987,0.1619,"NMNAT3; QPRT; ACP3; NT5C3A; NT5M; NT5C2; NT5E; NT5C",0.637
"11h-14,15-EETA",23,-0.398,7.329,0.986,0.162,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.637
"phenylacetate",3,0.582,3.25,0.983,0.1629,"ALDH3A1; ALDH3B1; FAAH2",0.637
"Dibenzo[A,L]Pyrene",21,-0.363,6.969,0.982,0.163,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.637
"TAG epoxide",10,-0.476,5.085,0.982,0.1631,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.637
"chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 3",6,0.3,4.236,0.982,0.1631,"CHPF; CHPF2; CHSY3; CHSY1; CSGALNACT1; CSGALNACT2",0.637
"15-oxo-lipoxin A4",20,-0.019,6.808,0.981,0.1634,"HPGD; ADH5; HSD3B7; AKR1B10; CBR4; HSD17B8; HSD17B11; WWOX",0.637
"glucose-6-phosphate",16,0.278,6.231,0.981,0.1632,"G6PD; ISYNA1; GPI; HK3; HK1; HKDC1; GCK; HK2",0.637
"(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol",10,-0.476,5.085,0.978,0.164,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6375
"8-HETE",22,-0.39,7.14,0.977,0.1643,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6375
"Dibenzo[A,L]Pyrene-11,12-Diol-13,14-Epoxide",21,-0.363,6.969,0.973,0.1653,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6375
"S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-3-thiolactate",9,0.013,4.89,0.973,0.1654,"SIRT6; NTAQ1; NTAN1; SIRT2; SIRT7; SIRT1; OARD1; SIRT5",0.6375
"13,14-dihydro-15-oxo-lipoxin A4",20,-0.019,6.808,0.971,0.1658,"ADH5; HSD3B7; AKR1B10; CBR4; HSD17B8; HSD17B11; WWOX; DHRS2",0.6375
"hypothiocyanite",3,0.719,3.2,0.971,0.1658,"LPO; PRDX6; MPO",0.6375
"19(S)-HETE",23,-0.398,7.329,0.967,0.1667,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6375
"SAH",70,-0.073,11.976,0.967,0.1668,"COQ3; PEMT; LRTOMT; COMT; AHCYL2; AHCY; GNMT; HNMT",0.6375
"Lithocholic acid 3-sulfate",7,-0.244,4.372,0.965,0.1673,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6375
"Trans-Delta-2-Heptadecanoic Acid",4,0.179,3.496,0.963,0.1678,"ACOT2; ACOT7; ACOT8; ACOT13",0.6375
"zinc",13,0.096,5.695,0.963,0.1678,"SLC39A3; SLC39A10; SLC11A2; SLC39A5; SLC39A4; SLC39A14; SLC39A1; SLC39A8",0.6375
"12(13)-EpOME",25,-0.38,7.504,0.961,0.1684,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6375
"9-hydroxybenzo[a]pyrene-4,5-oxide",10,-0.476,5.085,0.961,0.1682,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6375
"FAD",86,-0.157,13.127,0.961,0.1682,"DHCR24; DAO; GPD2; L2HGDH; ACADS; ACADM; EHHADH; ACOX1",0.6375
"11,14,15-THETA",23,-0.398,7.329,0.957,0.1693,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6375
"16(R)-HETE",23,-0.398,7.329,0.957,0.1692,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6375
"5-L-gamma-glutamyl",4,0.353,3.508,0.957,0.1692,"GGT1; GGT7; GGT6; GGT5",0.6375
"Cholic acid 3-sulfate",7,-0.244,4.372,0.957,0.1692,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6375
"chloral",10,-0.476,5.085,0.957,0.1692,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6375
"gamma-glutamyl-3-aminopropiononitrile",4,0.353,3.508,0.957,0.1694,"GGT1; GGT7; GGT6; GGT5",0.6375
"hydroxide",6,-0.407,4.234,0.957,0.1693,"CYP1A2; CYP1A1; CYP1B1; SLC26A6; SLC19A1; SLC22A11",0.6375
"15(S)-HETrE",5,-0.062,3.872,0.956,0.1696,"SLC27A2; SLC27A4; SLC27A1; SLC27A3; SLC27A5",0.6375
"valine",33,0.118,8.494,0.954,0.1701,"BCAT2; BCAT1; SLC36A1; SLC43A1; SLC7A7; SLC7A5; SLC3A2; SLC43A2",0.6375
"Taurocholic acid 3-sulfate",7,-0.244,4.372,0.953,0.1703,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6375
"imidazole-4-acetaldehyde",8,-0.165,4.66,0.953,0.1702,"AOC1; AOC2; AOC3; ALDH2; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1",0.6375
"4-[(hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone",10,-0.476,5.085,0.951,0.1709,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6375
"glucose-1-phosphate",13,0.015,5.672,0.951,0.1709,"ENPP3; ENPP1; UGP2; NUDT14; GALT; PGM2; PGM1; PYGM",0.6375
"pyridoxine",4,0.149,3.588,0.948,0.1716,"PDXK; PNPO; PHOSPHO2; PDXP",0.6375
"4-aminobutanal",8,-0.165,4.66,0.947,0.1719,"AOC1; AOC2; AOC3; ALDH2; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1",0.6375
"naphthalene",10,-0.476,5.085,0.947,0.1719,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6375
"(R)-mevalonate",3,0.354,3.18,0.946,0.1721,"HMGCR; SLC16A1; MVK",0.6375
"Taurochenodeoxycholic acid 3-sulfate",7,-0.244,4.372,0.946,0.1719,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6375
"5,6-EET",25,-0.38,7.504,0.942,0.173,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6398
"(7Z)-octadecenoyl-CoA",34,0.132,8.508,0.937,0.1744,"ACOT7; BAAT; THEM4; ACOT13; ACOT1; GPAT4; GPAT2; GPAT3",0.643
"gamma-L-glutamyl-L-alanine",4,0.353,3.508,0.937,0.1743,"GGT1; GGT7; GGT6; GGT5",0.643
"Tauroursodeoxycholic acid 3-sulfate",7,-0.244,4.372,0.932,0.1757,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6466
"1-nitronaphthalene",10,-0.476,5.085,0.931,0.176,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6466
"Deoxycholic acid 3-sulfate",7,-0.244,4.372,0.93,0.1762,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6466
"5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA",10,0.162,5.008,0.926,0.1773,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.6484
"17beta-estradiol-2,3-semiquinone",4,0.726,3.493,0.925,0.1774,"LPO; TPO; PRDX6; MPO",0.6484
"CMP-N-acetylneuraminate",17,-0.045,6.327,0.925,0.1775,"ST3GAL1; ST3GAL4; ST3GAL2; ST3GAL5; ST6GALNAC4; ST6GALNAC3; ST6GALNAC6; ST8SIA1",0.6484
"aflatoxin Q1",10,-0.476,5.085,0.923,0.1781,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6493
"7Z,10Z-Hexadecadienoic Acid",4,0.179,3.496,0.922,0.1783,"ACOT2; ACOT7; ACOT8; ACOT13",0.6493
"5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA",10,0.162,5.008,0.918,0.1793,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.6517
"beta-alanine",14,-0.035,5.824,0.917,0.1795,"ALDH1B1; ALDH2; ALDH3A2; ALDH9A1; ALDH7A1; ABAT; UPB1; CARNS1",0.6517
"benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide",10,-0.476,5.085,0.915,0.18,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6522
"5,15-DiHETE",3,0.388,3.217,0.914,0.1805,"ALOX5; ABCC1; ABCC4",0.6522
"IV2Fuc-nLc4Cer",5,-0.063,3.93,0.912,0.1809,"ABO; FUT9; FUT4; FUT1; FUT2",0.6522
"4,4-dimethyl-5alpha-cholesta-8,14-dien-3-beta-ol",3,0.336,3.18,0.911,0.1811,"CYP51A1; LBR; TM7SF2",0.6522
"L-3-cyanoalanine",4,0.353,3.508,0.911,0.1811,"GGT1; GGT7; GGT6; GGT5",0.6522
"Cyanosulfurous Acid Anion",4,0.726,3.493,0.91,0.1813,"PRDX6; TPO; LPO; MPO",0.6522
"m3gacpail heparan sulfate",10,-0.017,4.971,0.909,0.1816,"PIGB; PIGO; PIGG; PIGF; PIGN; PIGK; GPAA1; PIGT",0.6523
"pyridoxamine",4,0.149,3.588,0.907,0.1822,"PDXK; PNPO; PHOSPHO2; PDXP",0.6531
"leukotriene C5",4,0.353,3.508,0.906,0.1825,"GGT1; GGT7; GGT6; GGT5",0.6531
"4-aminobutyrate",14,-0.112,5.753,0.905,0.1829,"ALDH2; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1; CARNS1; CNDP1; CNDP2",0.6531
"Glycochenodeoxycholic acid 3-sulfate",7,-0.244,4.372,0.903,0.1832,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6531
"leukotriene D5",4,0.353,3.508,0.903,0.1832,"GGT1; GGT7; GGT6; GGT5",0.6531
"10-HETE",29,-0.377,7.934,0.902,0.1835,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4A11; CYP4F11",0.6532
"retinoate",35,-0.238,8.673,0.899,0.1844,"SLC16A4; SLC16A5; SLC16A1; SLC16A8; SLC16A3; SLC16A7; ALDH1A1; ALDH1A3",0.6539
"estrone-3,4-semiquinone",4,0.726,3.493,0.898,0.1846,"LPO; TPO; PRDX6; MPO",0.6539
"Ursodeoxycholic acid 3-sulfate",7,-0.244,4.372,0.897,0.1848,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6539
"hypochlorite",4,0.594,3.413,0.897,0.1849,"LPO; PRDX6; MPO; PXDN",0.6539
"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",3,0.336,3.18,0.896,0.1852,"TM7SF2; CYP51A1; LBR",0.6539
"Glycocholic acid 3-sulfate",7,-0.244,4.372,0.895,0.1854,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6539
"3-hydroxyisobutyrate",3,-0.126,3.145,0.894,0.1856,"HIBCH; HSD17B10; HIBADH",0.6539
"gamma-glutamyl-beta-cyanoalanine",4,0.353,3.508,0.892,0.1862,"GGT1; GGT7; GGT6; GGT5",0.6539
"glycerol",23,0.132,7.216,0.891,0.1863,"MGLL; ABHD6; ABHD12; AQP3; AQP7; GK5; GK; AKR1B1",0.6539
"methylmalonyl-CoA",4,-0.13,3.503,0.891,0.1865,"MLYCD; PCCB; PCCA; MCEE",0.6539
"5,8,11,14,17-Eicosapentenoic Acid",4,0.179,3.496,0.89,0.1867,"ACOT2; ACOT7; ACOT8; ACOT13",0.6539
"Benzo[A]Pyrene-2,3-Oxide",23,-0.347,7.154,0.888,0.1874,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6548
"9-hydroxybenzo[a]pyrene",10,-0.476,5.085,0.886,0.1877,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6548
"Glycodeoxycholic acid 3-sulfate",7,-0.244,4.372,0.886,0.1878,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6548
"N-acetyl-D-glucosaminylphosphatidylinositol",7,-0.051,4.294,0.881,0.1892,"PIGH; PIGP; PIGQ; PIGA; PIGY; PIGC; PIGL",0.6563
"dodecanoyl-[ACP]",3,0.293,3.112,0.88,0.1894,"FASN; OLAH; OXSM",0.6563
"glyoxalate",12,-0.2,5.378,0.88,0.1895,"HOGA1; AGXT; AGXT2; DAO; GRHPR; HAO1; LDHD; LDHC",0.6563
"hexadecanoyl-[ACP]",3,0.293,3.112,0.879,0.1896,"FASN; OLAH; OXSM",0.6563
"homovanillate",5,0.483,3.735,0.878,0.1899,"ALDH3A1; ALDH1A3; ALDH3B1; LRTOMT; COMT",0.6563
"12(S)-HPETE",8,0.256,4.593,0.877,0.1903,"ALOX12; GPX3; GPX8; PRDX6; GPX2; GPX4; GPX1; GPX7",0.6563
"Taurodeoxycholic acid 3-sulfate",7,-0.244,4.372,0.874,0.191,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6563
"chondroitin sulfate C (GalNAc6S-GlcA), free chain",6,0.179,4.068,0.874,0.1912,"GALNS; GLB1; CTSA; HEXB; HEXD; HEXA",0.6563
"UDP-N-acetylglucosamine",45,0.066,9.71,0.873,0.1914,"B3GNT5; B3GNT3; B3GNT2; B3GNT4; B4GAT1; GCNT2; UAP1L1; UAP1",0.6563
"17beta-estradiol-3,4-semiquinone",4,0.726,3.493,0.872,0.1917,"LPO; TPO; PRDX6; MPO",0.6563
"deoxycholoyl-CoA",3,-0.199,3.207,0.872,0.1915,"SLC27A2; SLC27A5; BAAT",0.6563
"20-CoA-20-oxo-LTB4",10,0.162,5.008,0.871,0.1919,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.6563
"1-phosphatidyl-1D-myo-inositol-4-phosphate",45,-0.011,9.701,0.87,0.1921,"PIK3C2B; PI4K2B; PI4KB; PI4KA; PI4K2A; PMPCA; NT5DC3; CTDSPL2",0.6563
"9(10)-EpOME",25,-0.38,7.504,0.87,0.192,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6563
"Cyanate",4,0.726,3.493,0.867,0.1931,"PRDX6; TPO; LPO; MPO",0.6568
"1,1-dichloroethylene",10,-0.476,5.085,0.866,0.1931,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.6568
"Dibenzo[A,L]Pyrene-11,12-Epoxide",23,-0.347,7.154,0.866,0.1933,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6568
"Zymosterol Intermediate 2",3,0.665,3.137,0.865,0.1936,"HSD17B4; NSDHL; MSMO1",0.6568
"(11Z,14Z)-eicosadienoyl-CoA",39,0.163,9.069,0.864,0.1937,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.6568
"5-hydroxytryptophol",10,-0.212,5.015,0.862,0.1944,"ADHFE1; ADH1A; ADH4; ADH5; ADH7; ADH6; ADH1C; ADH1B",0.6568
"(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1",9,0.129,4.757,0.861,0.1945,"ALG10; ALG8; TUSC3; DDOST; DAD1; STT3B; STT3A; RPN1",0.6568
"chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 5",6,0.179,4.068,0.86,0.195,"GALNS; GLB1; CTSA; HEXB; HEXD; HEXA",0.6568
"3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one",22,-0.036,6.98,0.859,0.1952,"RDH10; ADH5; HSD3B7; AKR1B10; HSD17B14; CBR4; HSD17B8; HSD17B11",0.6568
"4-hydroxy-2-oxoglutarate",3,-0.188,3.147,0.859,0.1953,"GOT1; GOT2; HOGA1",0.6568
"chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 2",6,0.179,4.068,0.858,0.1955,"GALNS; GLB1; CTSA; HEXB; HEXD; HEXA",0.6568
"3-beta-D-glucuronosyl-3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein",7,-0.157,4.311,0.856,0.1959,"B3GAT2; B3GAT1; B3GAT3; CSGALNACT2; CSGALNACT1; EXTL3; EXTL2",0.6568
"butyryl-[ACP]",4,0.238,3.457,0.856,0.1959,"MECR; PECR; FASN; OXSM",0.6568
"sulfochenodeoxycholate",10,-0.243,5.025,0.855,0.1962,"SULT2A1; STS; SLC10A1; SLCO1B3; SLCO1A2; ABCG2; ABCC2; ABCC3",0.6568
"Glycoursodeoxycholic acid 3-sulfate",7,-0.244,4.372,0.852,0.1972,"ABCG2; ABCC2; ABCC3; ABCC4; SLCO1B1; SLCO1B3; SULT2A1",0.6568
"chondroitin sulfate C (GalNAc6S-GlcA), degradation product 1",6,0.179,4.068,0.852,0.197,"GALNS; GLB1; CTSA; HEXB; HEXD; HEXA",0.6568
